branch	cohort_n	pair	subject	rho
visual	21	A-B	sub-01	0.63599222738907812
visual	21	A-B	sub-02	0.74368463724152534
visual	21	A-B	sub-03	0.69727223120447057
visual	21	A-B	sub-04	0.6315579637459573
visual	21	A-B	sub-05	0.76846191727607338
visual	21	A-B	sub-06	0.65052171241398449
visual	21	A-B	sub-07	0.71133378321469765
visual	21	A-B	sub-08	0.69025732623025771
visual	21	A-B	sub-09	0.74693153919506572
visual	21	A-B	sub-10	0.58789376218848099
visual	21	A-B	sub-11	0.54186720505054697
visual	21	A-B	sub-12	0.3695336043769723
visual	21	A-B	sub-13	0.71165343289913763
visual	21	A-B	sub-14	0.43178121340512271
visual	21	A-B	sub-15	0.47039996435425963
visual	21	A-B	sub-17	0.62429384761062023
visual	21	A-B	sub-18	0.52217420134278592
visual	21	A-B	sub-19	0.70470789213749507
visual	21	A-B	sub-20	0.70317730936551148
visual	21	A-B	sub-22	0.70810449844064594
visual	21	A-B	sub-23	0.65275288272153886
visual	21	A-C	sub-01	0.57126320893647675
visual	21	A-C	sub-02	0.68981360355258003
visual	21	A-C	sub-03	0.62603620205903709
visual	21	A-C	sub-04	0.59196131301630828
visual	21	A-C	sub-05	0.73396424596245757
visual	21	A-C	sub-06	0.64895931634391213
visual	21	A-C	sub-07	0.67051703019413122
visual	21	A-C	sub-08	0.67334277578147039
visual	21	A-C	sub-09	0.71782369841339522
visual	21	A-C	sub-10	0.56136590804033137
visual	21	A-C	sub-11	0.53292587046685502
visual	21	A-C	sub-12	0.33339095899671722
visual	21	A-C	sub-13	0.6829952072246428
visual	21	A-C	sub-14	0.35335155571323107
visual	21	A-C	sub-15	0.45912801872961029
visual	21	A-C	sub-17	0.56993176898020237
visual	21	A-C	sub-18	0.50145109014204303
visual	21	A-C	sub-19	0.6871986550546163
visual	21	A-C	sub-20	0.66187411815532227
visual	21	A-C	sub-22	0.66506503383834459
visual	21	A-C	sub-23	0.60202678246496377
visual	21	B-C	sub-01	0.862150359771785
visual	21	B-C	sub-02	0.89222766556991373
visual	21	B-C	sub-03	0.86601444245458692
visual	21	B-C	sub-04	0.89063867700453847
visual	21	B-C	sub-05	0.92093749011239268
visual	21	B-C	sub-06	0.87693322196061985
visual	21	B-C	sub-07	0.89298876368674396
visual	21	B-C	sub-08	0.91706277488657106
visual	21	B-C	sub-09	0.90071044685327706
visual	21	B-C	sub-10	0.8963423018411304
visual	21	B-C	sub-11	0.90266118230916392
visual	21	B-C	sub-12	0.82915687403019844
visual	21	B-C	sub-13	0.92119371318895449
visual	21	B-C	sub-14	0.75180703892126632
visual	21	B-C	sub-15	0.70085422031609879
visual	21	B-C	sub-17	0.88962463009968318
visual	21	B-C	sub-18	0.87919996585064275
visual	21	B-C	sub-19	0.92470778017539002
visual	21	B-C	sub-20	0.88780161598734264
visual	21	B-C	sub-22	0.90415913344887278
visual	21	B-C	sub-23	0.85445485542053767
movement	19	A-B	sub-01	0.73333141565851234
movement	19	A-B	sub-02	0.70932267302915941
movement	19	A-B	sub-03	0.63609836477436177
movement	19	A-B	sub-04	0.57375071428403857
movement	19	A-B	sub-05	0.60963826326453963
movement	19	A-B	sub-08	0.59920266259347321
movement	19	A-B	sub-09	0.71195263520607532
movement	19	A-B	sub-10	0.55947422144210912
movement	19	A-B	sub-11	0.46861755744069888
movement	19	A-B	sub-12	0.51702666725943913
movement	19	A-B	sub-13	0.65339625890173858
movement	19	A-B	sub-14	0.47712195978383803
movement	19	A-B	sub-15	0.48043318271592372
movement	19	A-B	sub-17	0.61028346178113535
movement	19	A-B	sub-18	0.51406151084904073
movement	19	A-B	sub-19	0.62295848495761663
movement	19	A-B	sub-20	0.69655929410625739
movement	19	A-B	sub-22	0.65468848861702
movement	19	A-B	sub-23	0.68073180354223439
movement	19	A-C	sub-01	0.67381188534287495
movement	19	A-C	sub-02	0.62769476105010436
movement	19	A-C	sub-03	0.58317028913559465
movement	19	A-C	sub-04	0.53865159443601784
movement	19	A-C	sub-05	0.5496511571122884
movement	19	A-C	sub-08	0.57837115335816414
movement	19	A-C	sub-09	0.65099082357772498
movement	19	A-C	sub-10	0.51304386076363606
movement	19	A-C	sub-11	0.46596931680391351
movement	19	A-C	sub-12	0.50248859203217688
movement	19	A-C	sub-13	0.63868258525822019
movement	19	A-C	sub-14	0.41712265163106343
movement	19	A-C	sub-15	0.47329932051269169
movement	19	A-C	sub-17	0.57611334028219541
movement	19	A-C	sub-18	0.50515086029655709
movement	19	A-C	sub-19	0.6128949048821335
movement	19	A-C	sub-20	0.64256980839626221
movement	19	A-C	sub-22	0.63410704204239521
movement	19	A-C	sub-23	0.62830862078768024
movement	19	B-C	sub-01	0.89786760834796708
movement	19	B-C	sub-02	0.86990572184331716
movement	19	B-C	sub-03	0.84560308475129276
movement	19	B-C	sub-04	0.88154974832344246
movement	19	B-C	sub-05	0.89929321465746481
movement	19	B-C	sub-08	0.90250623036720612
movement	19	B-C	sub-09	0.89264610669888844
movement	19	B-C	sub-10	0.88198513107925502
movement	19	B-C	sub-11	0.88388476605943256
movement	19	B-C	sub-12	0.84924440584307881
movement	19	B-C	sub-13	0.92949647074743447
movement	19	B-C	sub-14	0.83016387812177617
movement	19	B-C	sub-15	0.63986647587580492
movement	19	B-C	sub-17	0.85737968945959764
movement	19	B-C	sub-18	0.90233886863111024
movement	19	B-C	sub-19	0.88005281923757828
movement	19	B-C	sub-20	0.90336827202519698
movement	19	B-C	sub-22	0.90341627467606322
movement	19	B-C	sub-23	0.87181996934691219
context	21	A-B	sub-01	0.58793619199744973
context	21	A-B	sub-02	0.73662362904672873
context	21	A-B	sub-03	0.59971157336515502
context	21	A-B	sub-04	0.54565773851005661
context	21	A-B	sub-05	0.69676093531883654
context	21	A-B	sub-06	0.58688312237630602
context	21	A-B	sub-07	0.64529712994024024
context	21	A-B	sub-08	0.54317174258552481
context	21	A-B	sub-09	0.6867550471228252
context	21	A-B	sub-10	0.46264413561836343
context	21	A-B	sub-11	0.61054740362100113
context	21	A-B	sub-12	0.55751230438037713
context	21	A-B	sub-13	0.64046111356580582
context	21	A-B	sub-14	0.35532689498738684
context	21	A-B	sub-15	0.67392358568058397
context	21	A-B	sub-17	0.56418075822400693
context	21	A-B	sub-18	0.53591896109431447
context	21	A-B	sub-19	0.59056767560483925
context	21	A-B	sub-20	0.59065382012123679
context	21	A-B	sub-22	0.52182936408646685
context	21	A-B	sub-23	0.597228799227425
context	21	A-C	sub-01	0.55892977304844993
context	21	A-C	sub-02	0.68404502602567208
context	21	A-C	sub-03	0.56787556295584218
context	21	A-C	sub-04	0.52125541601275693
context	21	A-C	sub-05	0.64421251871107432
context	21	A-C	sub-06	0.58001340539857771
context	21	A-C	sub-07	0.63717322595584869
context	21	A-C	sub-08	0.52534842645709601
context	21	A-C	sub-09	0.64323611725215002
context	21	A-C	sub-10	0.44007740655609046
context	21	A-C	sub-11	0.59777326473534387
context	21	A-C	sub-12	0.49989269985142298
context	21	A-C	sub-13	0.65502986016934717
context	21	A-C	sub-14	0.39920169018433072
context	21	A-C	sub-15	0.60767679172788081
context	21	A-C	sub-17	0.56507675924499379
context	21	A-C	sub-18	0.55504119810177521
context	21	A-C	sub-19	0.56547867070248448
context	21	A-C	sub-20	0.56964386675864875
context	21	A-C	sub-22	0.4740634046896387
context	21	A-C	sub-23	0.56950727480319396
context	21	B-C	sub-01	0.93312073728806433
context	21	B-C	sub-02	0.89573951805025087
context	21	B-C	sub-03	0.86646650542339609
context	21	B-C	sub-04	0.88970758737855749
context	21	B-C	sub-05	0.93134723092111804
context	21	B-C	sub-06	0.91965906169218858
context	21	B-C	sub-07	0.93156190236901737
context	21	B-C	sub-08	0.93202352418676671
context	21	B-C	sub-09	0.91793537587967033
context	21	B-C	sub-10	0.92481813105286748
context	21	B-C	sub-11	0.93655092963627062
context	21	B-C	sub-12	0.9167407652311339
context	21	B-C	sub-13	0.96669695121415333
context	21	B-C	sub-14	0.91679711769151362
context	21	B-C	sub-15	0.91657018289973835
context	21	B-C	sub-17	0.90143703582385903
context	21	B-C	sub-18	0.91463505359917174
context	21	B-C	sub-19	0.94196736728323405
context	21	B-C	sub-20	0.93003699716648858
context	21	B-C	sub-22	0.91349321929674421
context	21	B-C	sub-23	0.90808130956268251
